Entrada,Fecha Entrada,En proceso,Salida,Fecha Salida
485754430356E4B1,02-jul-25,48575443035A75B1,485754433975EAAF,01/07/2025
4857544303572FB1,02-jul-25,485754430361E0B1,485754430975F7B1,01/07/2025
48575443035A75B1,02-jul-25,48575443037769B1,485754437DFB08B0,01/07/2025
48575443035CB2B1,02-jul-25,4857544304351CAF,4857544330D5B2AF,01/07/2025
485754430361E0B1,02-jul-25,48575443043BEEAF,48575443CE2FFEAE,01/07/2025
48575443037450B1,02-jul-25,485754430441D9AF,4857544389FCE5AE,01/07/2025
48575443037769B1,02-jul-25,48575443044A10AF,485754431C767DB1,01/07/2025
485754430377F0B1,02-jul-25,48575443044E7FAF,485754436CD156AF,01/07/2025
4857544304351CAF,02-jul-25,48575443044EF2AF,485754430918FAB0,01/07/2025
485754430435DFAF,02-jul-25,48575443044F4BAF,485754438C257EB0,01/07/2025
48575443043BEEAF,02-jul-25,485754430456E7AF,4857544308FF5EB1,01/07/2025
4857544304404AAF,02-jul-25,4857544304D673B1,485754435DB25AAE,01/07/2025
485754430441D9AF,02-jul-25,4857544304DA07B1,48575443796223AE,01/07/2025
485754430442F0AF,02-jul-25,4857544304DB90B1,4857544372BFC7AF,01/07/2025
485754430446CFAF,02-jul-25,4857544304FB77B1,485754434FC600AF,01/07/2025
4857544304497EAF,02-jul-25,4857544304FD8CB1,4857544374A5FAAF,01/07/2025
48575443044A10AF,02-jul-25,48575443063803B0,48575443A2AD03B0,01/07/2025
48575443044B79AF,02-jul-25,48575443063BB6B0,485754436FF1B9AF,01/07/2025
48575443044CC4AF,02-jul-25,4857544306410BB0,48575443395FDCAF,01/07/2025
48575443044DF2AF,02-jul-25,48575443068923B0,4857544356AFD5AE,01/07/2025
48575443044E7FAF,02-jul-25,48575443068DA9B0,485754438C25ECB0,01/07/2025
48575443044EF2AF,02-jul-25,48575443068DCDB0,485754437D5FE1B0,01/07/2025
48575443044F4BAF,02-jul-25,48575443069318B0,48575443E70103AF,01/07/2025
48575443045079AF,02-jul-25,485754431CF789B1,485754435C8A92B0,01/07/2025
48575443045334AF,02-jul-25,485754431D0202B1,485754432FED90AF,01/07/2025
48575443045552AF,02-jul-25,4857544322F915AF,48575443353864AE,01/07/2025
485754430456E7AF,02-jul-25,4857544322F98DAF,485754431A6D07B1,01/07/2025
4857544304577EAF,02-jul-25,4857544322F9D3AF,4857544335847DAE,01/07/2025
48575443045A29AF,02-jul-25,4857544322FF8DAF,4857544379567AAE,01/07/2025
4857544304CC4AB1,02-jul-25,48575443230075AF,48575443396208AF,01/07/2025
4857544304CF49B1,02-jul-25,4857544323034AAF,4857544342E9D6AF,01/07/2025
4857544304D670B1,02-jul-25,48575443230584AF,48575443795F1AAE,01/07/2025
4857544304D673B1,02-jul-25,48575443230D1FAF,48575443846AB9AF,01/07/2025
4857544304DA07B1,02-jul-25,4857544329480BB1,485754437D73DEB0,01/07/2025
4857544304DB90B1,02-jul-25,485754432D2DE6AF,48575443CE5E1CAE,01/07/2025
4857544304EE78B1,02-jul-25,485754432D31AAAF,48575443A71700AF,01/07/2025
4857544304F63BB1,02-jul-25,485754432D3926AF,485754438D6DD1B0,01/07/2025
4857544304F71EB1,02-jul-25,485754432D3BE1AF,48575443C99E06AE,01/07/2025
4857544304F75AB1,02-jul-25,485754432D454AAF,48575443456D2EAF,01/07/2025
4857544304F9D7B1,02-jul-25,485754433314F1B1,485754436CCE0FAF,01/07/2025
4857544304FA99B1,02-jul-25,48575443331689B1,48575443FDFA0AAE,01/07/2025
4857544304FB77B1,02-jul-25,485754433316B2B1,485754437A5396AF,01/07/2025
4857544304FD8CB1,02-jul-25,485754433539D7AE,485754431174E2B0,01/07/2025
48575443062CB0B0,02-jul-25,48575443353C47AE,48575443090AFEB0,01/07/2025
48575443063803B0,02-jul-25,48575443353CDDAE,485754433EE832AE,01/07/2025
485754430638B6B0,02-jul-25,48575443353D42AE,48575443A2AB37B0,01/07/2025
48575443063B26B0,02-jul-25,48575443353ED1AE,48575443925095AE,01/07/2025
48575443063BB6B0,02-jul-25,4857544335400AAE,4857544369EEE2AF,01/07/2025
48575443063C08B0,02-jul-25,4857544335412AAE,485754432303B7AF,01/07/2025
4857544306410BB0,02-jul-25,485754433E4DA8B1,4857544374AAB6AF,01/07/2025
48575443064144B0,02-jul-25,485754433ECC35AE,48575443A2B8D3AF,01/07/2025
4857544306867EB0,02-jul-25,485754433ECC78AE,48575443701621B0,01/07/2025
48575443068923B0,02-jul-25,485754433ECE1AAE,48575443090B89B0,01/07/2025
485754430689B2B0,02-jul-25,485754433ED24FAE,48575443659923B0,01/07/2025
48575443068C52B0,02-jul-25,485754433EDA63AE,485754437A3E1AAF,01/07/2025
48575443068DA9B0,02-jul-25,485754433EDA82AE,48575443EA4E75AD,01/07/2025
48575443068DCDB0,02-jul-25,485754433EDBE0AE,48575443A727C4AF,01/07/2025
48575443069208B0,02-jul-25,485754433EDE49AE,485754437DFB0EB0,01/07/2025
48575443069318B0,02-jul-25,4857544343AE27AF,48575443411B0CAF,01/07/2025
485754430694C9B0,02-jul-25,4857544343B937AF,48575443749288AF,01/07/2025
48575443069A8CB0,02-jul-25,4857544343CD70AF,485754431CE5DBB1,01/07/2025
485754431CF789B1,02-jul-25,48575443447E7FB0,4857544343B09CAF,01/07/2025
485754431CFD52B1,02-jul-25,485754434FD9B4AF,48575443611F9CAE,01/07/2025
485754431CFD7BB1,02-jul-25,4857544355072BB1,48575443969F4DAE,01/07/2025
485754431D0202B1,02-jul-25,48575443550CF5B1,485754439384D9B0,01/07/2025
485754431D04DAB1,02-jul-25,485754435525BBB1,485754431180FAB0,01/07/2025
4857544322F915AF,02-jul-25,48575443552F95B1,4857544372AD79AE,01/07/2025
4857544322F98DAF,02-jul-25,485754435C7EC1B0,485754437C7D1AAE,01/07/2025
