Entrada,Fecha Entrada,En proceso,Salida,Fecha Salida
ZTEGC45BB1EC,08-jul-25,ZTEGC45BB1EC,ZTEGCE5CB809,08/07/2025
ZTEGC45BB209,08-jul-25,ZTEGC45BB209,ZTEGCE4428CE,08/07/2025
ZTEGC45BB21A,08-jul-25,ZTEGC45BB21A,ZTEGCEDDE0B2,08/07/2025
ZTEGC45BB22F,08-jul-25,ZTEGC45BB22F,ZTEGCE4F75DA,08/07/2025
ZTEGC45BB27E,08-jul-25,ZTEGC45BB27E,ZTEGCE44632F,08/07/2025
ZTEGC45BB297,08-jul-25,ZTEGC45BB297,ZTEGCE5C4F1F,08/07/2025
ZTEGC45BB29C,08-jul-25,ZTEGC45BB29C,ZTEGCE445303,08/07/2025
ZTEGC45BB45A,08-jul-25,ZTEGC45BB45A,ZTEGCEDD844E,08/07/2025
ZTEGC45BB720,08-jul-25,ZTEGC45BB720,ZTEGCE501AF1,08/07/2025
ZTEGC45BBAE8,08-jul-25,ZTEGC45BBAE8,ZTEGCE4DB93E,08/07/2025
ZTEGC45BBD17,08-jul-25,ZTEGC45BBD17,ZTEGCE44481B,08/07/2025
ZTEGC45BBD71,08-jul-25,ZTEGC45BBD71,ZTEGCE4D50E4,08/07/2025
ZTEGC45BC82B,08-jul-25,ZTEGC45BC82B,ZTEGCEA0939C,08/07/2025
ZTEGC45BC880,08-jul-25,ZTEGC45BC880,ZTEGCEDE035C,08/07/2025
ZTEGC45BC891,08-jul-25,ZTEGC45BC891,ZTEGCEDD61EC,08/07/2025
ZTEGC45BC8A4,08-jul-25,ZTEGC45BC8A4,ZTEGCE4DC9AD,08/07/2025
ZTEGC45BCADA,08-jul-25,ZTEGC45BCADA,ZTEGCEA0708F,08/07/2025
ZTEGC45BCC84,08-jul-25,ZTEGC45BCC84,ZTEGCE4FC965,08/07/2025
ZTEGC45BD8AB,08-jul-25,ZTEGC45BD8AB,ZTEGCE4446B8,08/07/2025
ZTEGC45BD8D9,08-jul-25,ZTEGC45BD8D9,ZTEGCE4D3146,08/07/2025
ZTEGC45BD8E1,08-jul-25,ZTEGC45BD8E1,ZTEGCEDD2AA2,08/07/2025
ZTEGC45BD8F9,08-jul-25,ZTEGC45BD8F9,ZTEGCE4FB569,08/07/2025
ZTEGC45BD92A,08-jul-25,ZTEGC45BD92A,ZTEGCE4D86C3,08/07/2025
ZTEGC45BD948,08-jul-25,ZTEGC45BD948,ZTEGCE441559,08/07/2025
ZTEGC45BD967,08-jul-25,ZTEGC45BD967,ZTEGCE44667D,08/07/2025
ZTEGC45BD979,08-jul-25,ZTEGC45BD979,ZTEGC45C2C0A,08/07/2025
ZTEGC45BD993,08-jul-25,ZTEGC45BD993,ZTEGCEDD8056,08/07/2025
ZTEGC45BD9A8,08-jul-25,ZTEGC45BD9A8,ZTEGCE4462F8,08/07/2025
ZTEGC45BD9DA,08-jul-25,ZTEGC45BD9DA,ZTEGCE4DC5E0,08/07/2025
ZTEGC45BDA16,08-jul-25,ZTEGC45BDA16,ZTEGCE446B9E,08/07/2025
ZTEGC45BDA1E,08-jul-25,ZTEGC45BDA1E,ZTEGCE5C29AE,08/07/2025
ZTEGC45BDA52,08-jul-25,ZTEGC45BDA52,ZTEGCEA04460,08/07/2025
ZTEGC45BDA66,08-jul-25,ZTEGC45BDA66,ZTEGCE5C9F47,08/07/2025
ZTEGC45BDA70,08-jul-25,ZTEGC45BDA70,ZTEGCE4FE80D,08/07/2025
ZTEGC45BDA7D,08-jul-25,ZTEGC45BDA7D,ZTEGC45C2715,08/07/2025
ZTEGC45BDA7F,08-jul-25,ZTEGC45BDA7F,ZTEGCE4F5283,08/07/2025
ZTEGC45BDA87,08-jul-25,ZTEGC45BDA87,ZTEGCE4D399B,08/07/2025
ZTEGC45BDA9A,08-jul-25,ZTEGC45BDA9A,ZTEGCE5C84FD,08/07/2025
ZTEGC45BDAB2,08-jul-25,ZTEGC45BDAB2,ZTEGCE4DC883,08/07/2025
ZTEGC45BDAD0,08-jul-25,ZTEGC45BDAD0,ZTEGCE4D61B5,08/07/2025
ZTEGC45BDADC,08-jul-25,ZTEGC45BDADC,ZTEGCE9FE004,08/07/2025
ZTEGC45BDADD,08-jul-25,ZTEGC45BDADD,ZTEGC45BBE7E,08/07/2025
ZTEGC45BDAE7,08-jul-25,ZTEGC45BDAE7,ZTEGCE4FB1AD,08/07/2025
ZTEGC45BDAF0,08-jul-25,ZTEGC45BDAF0,ZTEGCEDD6B00,08/07/2025
ZTEGC45BEA24,08-jul-25,ZTEGC45BEA24,ZTEGCEDDA013,08/07/2025
ZTEGC45BEA49,08-jul-25,ZTEGC45BEA49,ZTEGCE4FF244,08/07/2025
ZTEGC45BEA56,08-jul-25,ZTEGC45BEA56,ZTEGCE440177,08/07/2025
ZTEGC45BEA57,08-jul-25,ZTEGC45BEA57,ZTEGCE5C6CE9,08/07/2025
ZTEGC45BEA67,08-jul-25,ZTEGC45BEA67,ZTEGCE43C0E8,08/07/2025
ZTEGC45BEA74,08-jul-25,ZTEGC45BEA74,ZTEGCE446D2F,08/07/2025
ZTEGC45BEAB1,08-jul-25,ZTEGC45BEAB1,ZTEGCE500187,08/07/2025
ZTEGC45BED75,08-jul-25,ZTEGC45BED75,ZTEGCE43E45D,08/07/2025
ZTEGC45BEEC5,08-jul-25,ZTEGC45BEEC5,ZTEGCE5C9445,08/07/2025
ZTEGC45BEF2B,08-jul-25,ZTEGC45BEF2B,ZTEGC45C4BF0,08/07/2025
ZTEGC45BEF69,08-jul-25,ZTEGC45BEF69,ZTEGCEDD2D5F,08/07/2025
ZTEGC45BF06C,08-jul-25,ZTEGC45BF06C,ZTEGCEA08E1D,08/07/2025
ZTEGC45BF259,08-jul-25,ZTEGC45BF259,ZTEGC45C1968,08/07/2025
ZTEGC45BF282,08-jul-25,ZTEGC45BF282,ZTEGCE4F3C28,08/07/2025
ZTEGC45BF292,08-jul-25,ZTEGC45BF292,ZTEGCEDD1E89,08/07/2025
ZTEGC45BF297,08-jul-25,ZTEGC45BF297,ZTEGCEA06759,08/07/2025
ZTEGC45BF2AC,08-jul-25,ZTEGC45BF2AC,ZTEGCE4F9B95,08/07/2025
ZTEGC45BF2B6,08-jul-25,ZTEGC45BF2B6,ZTEGCE4F8C73,08/07/2025
ZTEGC45BF2BB,08-jul-25,ZTEGC45BF2BB,ZTEGCE43AD9C,08/07/2025
ZTEGC45BF2CF,08-jul-25,ZTEGC45BF2CF,ZTEGCEA087AA,08/07/2025
ZTEGC45BF2DA,08-jul-25,ZTEGC45BF2DA,ZTEGCE4FA879,08/07/2025
ZTEGC45BF2DB,08-jul-25,ZTEGC45BF2DB,ZTEGCE4F7C99,08/07/2025
ZTEGC45BF2EE,08-jul-25,ZTEGC45BF2EE,ZTEGCE4FB83F,08/07/2025
ZTEGC45BF345,08-jul-25,ZTEGC45BF345,ZTEGCEDD2704,08/07/2025
ZTEGC45BF35F,08-jul-25,ZTEGC45BF35F,ZTEGCEDD77A1,08/07/2025
ZTEGC45BF363,08-jul-25,ZTEGC45BF363,ZTEGCE5C792B,08/07/2025
ZTEGCE441F0B,08-jul-25,ZTEGCE441F0B,ZTEGCE4424A6,08/07/2025
ZTEGCE441F11,08-jul-25,ZTEGCE441F11,ZTEGCE4FC988,08/07/2025
ZTEGCE441F12,08-jul-25,ZTEGCE441F12,ZTEGCE4F4C62,08/07/2025
ZTEGCE441F19,08-jul-25,ZTEGCE441F19,ZTEGCEDD503A,08/07/2025
ZTEGCE441F3A,08-jul-25,ZTEGCE441F3A,ZTEGCE5C61C4,08/07/2025
ZTEGCE441F73,08-jul-25,ZTEGCE441F73,ZTEGCE5C553F,08/07/2025
ZTEGCE441F76,08-jul-25,ZTEGCE441F76,ZTEGCE4D84D0,08/07/2025
ZTEGCE441F7B,08-jul-25,ZTEGCE441F7B,ZTEGCE4DE619,08/07/2025
ZTEGCE441F8D,08-jul-25,ZTEGCE441F8D,ZTEGCE4440B1,08/07/2025
ZTEGCE441F8F,08-jul-25,ZTEGCE441F8F,ZTEGCE4FDA2F,08/07/2025
ZTEGCE441FA2,08-jul-25,ZTEGCE441FA2,ZTEGC45C081E,08/07/2025
ZTEGCE441FB7,08-jul-25,ZTEGCE441FB7,ZTEGCE5C2328,08/07/2025
ZTEGCE441FDC,08-jul-25,ZTEGCE441FDC,ZTEGCE5C7954,08/07/2025
ZTEGCE442044,08-jul-25,ZTEGCE442044,ZTEGCE4FA675,08/07/2025
ZTEGCE442045,08-jul-25,ZTEGCE442045,ZTEGCE4FA3E0,08/07/2025
ZTEGCE44206E,08-jul-25,ZTEGCE44206E,ZTEGCE4D842E,08/07/2025
