Entrada,Fecha Entrada,En proceso,Salida,Fecha Salida
485754438EF105AD,18-jun-25,485754438EF105AD,485754431EBB87AA,26/05/2025
48575443084293AA,18-jun-25,485754430F1451AA,485754430B0619AA,26/05/2025
485754430F1451AA,18-jun-25,485754430F1755AA,48575443082057AA,26/05/2025
485754430F1497AA,18-jun-25,485754430F2206AA,48575443B89AE3AA,26/05/2025
485754430F1755AA,18-jun-25,485754430F26A5AA,48575443B7B0B4AA,26/05/2025
485754430F2206AA,18-jun-25,485754430F294DAA,48575443B7071BAA,26/05/2025
485754430F26A5AA,18-jun-25,485754430F30C6AA,485754431C4EC7AA,26/05/2025
485754430F294DAA,18-jun-25,485754430C38B5AA,48575443AB46ABAA,26/05/2025
485754430F30C6AA,18-jun-25,485754430C39A1AA,485754430E61E5AA,26/05/2025
485754430C3837AA,18-jun-25,485754430EDD02AA,48575443B94F11AA,26/05/2025
485754430C38B5AA,18-jun-25,485754431CCBBFAA,48575443AB1000AA,26/05/2025
485754430C39A1AA,18-jun-25,485754431CCEF0AA,485754434BD11DAD,26/05/2025
485754430EDD02AA,18-jun-25,485754431CD046AA,4857544384D636AA,26/05/2025
485754431CCBBFAA,18-jun-25,485754431CD082AA,48575443A3D09BAA,26/05/2025
485754431CCEF0AA,18-jun-25,485754431CD832AA,485754438240F7AD,26/05/2025
485754431CD046AA,18-jun-25,485754431CDDECAA,48575443E44777AD,26/05/2025
485754431CD082AA,18-jun-25,485754431CDE54AA,485754431506A2AC,26/05/2025
485754431CD832AA,18-jun-25,485754431CDEF8AA,485754430C73AFAA,26/05/2025
485754431CDDECAA,18-jun-25,485754431D15DBAA,48575443A3E84FAA,26/05/2025
485754431CDE54AA,18-jun-25,485754431D1BFBAA,48575443AB4604AA,26/05/2025
485754431CDEF8AA,18-jun-25,485754431D2A5CAA,485754431C4619AA,26/05/2025
485754431D15DBAA,18-jun-25,48575443B8A721AA,48575443EE352FAB,26/05/2025
485754431D1BFBAA,18-jun-25,48575443B8B7F3AA,48575443097FADAA,26/05/2025
485754431D2A5CAA,18-jun-25,48575443B8BABBAA,48575443977FABAD,26/05/2025
48575443B8A721AA,18-jun-25,48575443E0A21DAA,48575443E44D17AD,26/05/2025
48575443B8AD37AA,18-jun-25,48575443E0C5A8AA,4857544308091EAA,26/05/2025
48575443B8B7F3AA,18-jun-25,48575443E0D5B6AA,48575443A24530AA,26/05/2025
48575443B8BABBAA,18-jun-25,48575443E0E520AA,4857544384E1F3AA,26/05/2025
48575443E0A21DAA,18-jun-25,48575443E0EE15AA,485754437A3851AD,26/05/2025
48575443E0C1A1AA,18-jun-25,48575443B6F70BAA,48575443B8297EAA,26/05/2025
48575443E0C5A8AA,18-jun-25,48575443B6FC5CAA,48575443B961FEAA,26/05/2025
