Entrada,Fecha Entrada,En proceso,Salida,Fecha Salida
4857544310B6B7A8,02-jul-25,4857544310B6B7A8,485754430C0F68A8,01/07/2025
4857544360082CA5,02-jul-25,4857544360082CA5,48575443505F3CA7,01/07/2025
48575443833F59A5,02-jul-25,48575443833F59A5,48575443831572A5,01/07/2025
48575443895305A3,02-jul-25,48575443895305A3,48575443211969A5,01/07/2025
485754439583ECA5,02-jul-25,485754439583ECA5,4857544306DE9AA8,01/07/2025
485754439DA11DA5,02-jul-25,485754439DA11DA5,48575443E1A796A5,01/07/2025
48575443EC3E2CA6,02-jul-25,48575443EC3E2CA6,485754438755EBA5,01/07/2025
4857544301055CA3,02-jul-25,4857544301055CA3,48575443225CDEA7,01/07/2025
48575443011435A3,02-jul-25,48575443011435A3,485754431E6D1CA6,01/07/2025
4857544301148DA3,02-jul-25,4857544301148DA3,48575443DBE7E5A2,01/07/2025
48575443011521A3,02-jul-25,48575443011521A3,485754431BB49FA7,01/07/2025
485754430118CBA3,02-jul-25,485754430118CBA3,48575443C5A535A3,01/07/2025
485754430119E3A3,02-jul-25,485754430119E3A3,485754436AD748A5,01/07/2025
48575443012616A3,02-jul-25,48575443012616A3,485754435E2FCB9F,01/07/2025
48575443012873A3,02-jul-25,48575443012873A3,4857544355B2BCA7,01/07/2025
4857544301295CA3,02-jul-25,4857544301295CA3,48575443B9FB15A3,01/07/2025
48575443012A72A3,02-jul-25,48575443012A72A3,485754432102AAA5,01/07/2025
485754430143AAA5,02-jul-25,485754430143AAA5,485754431E5524A6,01/07/2025
485754430143C8A5,02-jul-25,485754430143C8A5,485754430C6EB4A8,01/07/2025
48575443014F25A5,02-jul-25,48575443014F25A5,48575443953B7BA5,01/07/2025
48575443032357A6,02-jul-25,48575443032357A6,485754432C10B2A0,01/07/2025
48575443032374A6,02-jul-25,48575443032374A6,48575443DF6F249F,01/07/2025
48575443032487A6,02-jul-25,48575443032487A6,4857544306B86AA8,01/07/2025
48575443032BDBA6,02-jul-25,48575443032BDBA6,4857544321DE92A3,01/07/2025
48575443033014A6,02-jul-25,48575443033014A6,48575443DF84CF9F,01/07/2025
485754430331ABA6,02-jul-25,485754430331ABA6,485754433896ABA7,01/07/2025
4857544303336DA6,02-jul-25,4857544303336DA6,48575443A605E2A8,01/07/2025
4857544303336EA6,02-jul-25,4857544303336EA6,485754433128D79F,01/07/2025
485754430334B3A6,02-jul-25,485754430334B3A6,485754435DDE7BA5,01/07/2025
485754430339C8A6,02-jul-25,485754430339C8A6,4857544339D61DA7,01/07/2025
48575443033A52A6,02-jul-25,48575443033A52A6,48575443BAC406A3,01/07/2025
48575443033AA7A6,02-jul-25,48575443033AA7A6,485754437F5E9EA4,01/07/2025
